Neighbourhood,Fast Food Restaurant,Cluster Labels,Postalcode,Neighbourhood Latitude,Neighbourhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Pita Land,4d7d05bccf3f3704b0395c40,43.713196,-79.5802,Fast Food Restaurant
High Park,0.25,1,M6P,43.6616083,-79.4647633,Frank's Pizza House,4d2f9b6282fd548180aeaba8,43.676786,-79.449247,Pizzeria
High Park,0.25,1,M6P,43.6616083,-79.4647633,Falafel World,4b51f5c2f964a520945d27e3,43.649901,-79.482845,Falafel Restaurant
High Park,0.25,1,M6P,43.6616083,-79.4647633,Coffee Tree,4b91740af964a520adbd33e3,43.64975,-79.483381,Café
High Park,0.25,1,M6P,43.6616083,-79.4647633,Chipotle Mexican Grill,54d802a9498ea0e079ea7af9,43.672569,-79.468496,Fast Food Restaurant
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Wendy's,4bc748906501c9b6721b3e29,43.718673,-79.570747,Burger Joint
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Pita & Grill,4c70715c9c6d6dcb11cad27a,43.642282,-79.383411,Fast Food Restaurant
High Park,0.25,1,M6P,43.6616083,-79.4647633,Popeye's Louisiana Kitchen,4cb0fb2939458cfa66ce07a0,43.667177,-79.486896,Fried Chicken Joint
High Park,0.25,1,M6P,43.6616083,-79.4647633,Pizza Pizza,4c6b03c86e10ef3b10cda040,43.681963,-79.468278,Pizzeria
High Park,0.25,1,M6P,43.6616083,-79.4647633,A&W Restaurant,5d3000991938c7000850b41d,43.681986,-79.471791,American Restaurant
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Druxy's Famous Deli,595414411c0b344b38f9e744,43.68834,-79.393929,Fast Food Restaurant
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Quiznos,4b588b7ef964a5201b5d28e3,43.688426,-79.393521,Diner
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Subway,4c599f28b05c1b8dc333d6b1,43.670696,-79.394109,Deli
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Subway,5e506470929cbd0008d7207e,43.637818,-79.392328,Sandwich Spot
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Chick-Fil-A,5d71504374f7d80008b792cd,43.669581,-79.386261,Fast Food Restaurant
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,A&W Restaurant,61218d0ea313105ffb620ca0,43.669986,-79.383005,American Restaurant
High Park,0.25,1,M6P,43.6616083,-79.4647633,Dairy Freezer,4b9ee0b8f964a520ef0737e3,43.67508,-79.454914,Burger Joint
High Park,0.25,1,M6P,43.6616083,-79.4647633,La Tortilleria,4b2a65a4f964a52050a824e3,43.659629,-79.435082,Fast Food Restaurant
 Scarborough Village West,0.25,1,M1M,43.716316,-79.2394761,Wimpys Head Office,4b93cf2af964a520c35234e3,43.716,-79.261694,Diner
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Charlie's Steakery,068daf9d02c84d8c4b11d999,43.720179,-79.600402,Fast Food Restaurant
 Scarborough Village West,0.25,1,M1M,43.716316,-79.2394761,Zam Zam Tikka & Kabab,55e33cba498e2abd1db0243e,43.707624,-79.268105,Fast Food Restaurant
 Scarborough Village West,0.25,1,M1M,43.716316,-79.2394761,Al Mac's Bar & Grill,341a8cf54cb04e670c23633e,43.709508,-79.249585,Burger Joint
 Scarborough Village West,0.25,1,M1M,43.716316,-79.2394761,Subway,2aaa27b2987642d823d9abf2,43.738081,-79.240332,Deli
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Subway,4b4f6b9bf964a520d20527e3,43.698565,-79.396963,Deli
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Teriyaki Experience,4c9b730fd4b1b1f79ad8d835,43.720557,-79.600604,Fast Food Restaurant
 Wexford Heights,0.3,1,M1P,43.7574096,-79.273304,Big Moe's Burgers,50e76974e4b08b441d502c86,43.744252,-79.297831,Burger Joint
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Subway,e7b190bcfa2aca88869c1e8d,43.708115,-79.616025,Deli
CN Tower,0.3,1,M5V,43.6289467,-79.3944199,Subway,5e506470929cbd0008d7207e,43.637818,-79.392328,Sandwich Spot
CN Tower,0.3,1,M5V,43.6289467,-79.3944199,Popeye's Louisiana Kitchen,5b9299663d479100392ebe10,43.640183,-79.381394,Fried Chicken Joint
CN Tower,0.3,1,M5V,43.6289467,-79.3944199,Domino's Pizza,4bba5d947421a59380b5c340,43.641769,-79.402072,Pizzeria
CN Tower,0.3,1,M5V,43.6289467,-79.3944199,Pizza Pizza,4b80a2c1f964a520908230e3,43.640131,-79.381339,Pizzeria
