Neighbourhood,Pest Control Service,Cluster Labels,Postalcode,Neighbourhood Latitude,Neighbourhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,TKMT,4c22c357fbe5c9b6c8839a21,43.647117,-79.404935,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,The Bed Bug Tracker,c2b0eedcbd974c4e7b1a4990,43.649759,-79.37628,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,My Pest Control,59a00c89002f4c45dfe94e79,43.669518,-79.39177,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,Icon Wildlife Removal & Pest Control,5cd1813dd9a6e6002b4d9142,43.653493,-79.38052,Home Service
Dorset Park,0.8333333333333334,1,M1P,43.7574096,-79.273304,Power Pest Control,44e7b3f9682643994a3035b7,43.753947,-79.265204,Pest Control Service
Parkdale,0.8571428571428571,1,M6R,43.6489597,-79.456325,Allied Pest Control,008a553048694b51c7a1dea0,43.649346,-79.428291,Pest Control Service
Parkwoods,0.8,1,M3A,43.7532586,-79.3296565,Delta Pest Control Ltd,9111b24255854a576f2979a4,43.752303,-79.310905,Pest Control Service
Parkwoods,0.8,1,M3A,43.7532586,-79.3296565,Raja Pest Control Services Inc,c2e2ed8e0cc141f82562cab1,43.742398,-79.306439,Pest Control Service
Parkwoods,0.8,1,M3A,43.7532586,-79.3296565,Precise Property Inspections,68f82df8da904059e35cd1e7,43.752874,-79.358362,Home Inspection
Parkwoods,0.8,1,M3A,43.7532586,-79.3296565,Contact Pest Control Inc,b7929f3c717b4f570c7c90f7,43.750701,-79.300346,Pest Control Service
Parkwoods,0.8,1,M3A,43.7532586,-79.3296565,Truly Nolen Pest Control Toronto,b289bac9e80240924da680eb,43.754911,-79.351938,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,Wildlife Shield- Wildlife Removal Toronto,23262a68194b4ff5a4c96598,43.653243,-79.363043,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,Heatsolete,5047b53ac84c402c83c17617,43.65552,-79.364152,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,Raccoon Control,ffee32e578b590e1447cb7ab,43.658986,-79.369004,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,The Exterminators Inc. Pest Control Toronto,5eeb3b1fd46f4e0008e79e54,43.660266,-79.353637,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,The Exterminators Inc,fa2e54570ce8429b68752cd8,43.660266,-79.353637,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,Quality pest control GTA Scarborough,63cff834469b1d37aa5f767d,43.66418,-79.360851,Home Service
